date,count,package
2022-09-17,63200,dplyr
2022-09-18,68047,dplyr
2022-09-19,111462,dplyr
2022-09-20,117869,dplyr
2022-09-21,111055,dplyr
2022-09-22,115736,dplyr
2022-09-23,95935,dplyr
2022-09-24,48887,dplyr
2022-09-25,43164,dplyr
2022-09-26,79498,dplyr
2022-09-27,81203,dplyr
2022-09-28,79879,dplyr
2022-09-29,80421,dplyr
2022-09-30,72970,dplyr
2022-10-01,43129,dplyr
2022-10-02,41837,dplyr
2022-10-03,73749,dplyr
2022-10-04,81497,dplyr
2022-10-05,79818,dplyr
2022-10-06,81170,dplyr
2022-10-07,72239,dplyr
2022-10-08,41495,dplyr
2022-10-09,44559,dplyr
2022-10-10,75804,dplyr
2022-10-11,82447,dplyr
2022-10-12,79572,dplyr
2022-10-13,83023,dplyr
2022-10-14,72870,dplyr
2022-10-15,42034,dplyr
2022-10-16,44929,dplyr
2022-01-01,46948,ggplot2
2022-01-02,NA,ggplot2
2022-01-03,63536,ggplot2
2022-01-04,66352,ggplot2
2022-01-05,67659,ggplot2
2022-01-06,68843,ggplot2
2022-01-07,65280,ggplot2
2022-01-08,46540,ggplot2
2022-01-09,47134,ggplot2
2022-01-10,71589,ggplot2
2022-01-11,77101,ggplot2
2022-01-12,76011,ggplot2
2022-01-13,73446,ggplot2
2022-01-14,70471,ggplot2
2022-01-15,50345,ggplot2
2022-01-16,50184,ggplot2
2022-01-17,67054,ggplot2
2022-01-18,74793,ggplot2
2022-01-19,81060,ggplot2
2022-01-20,83965,ggplot2
2022-01-21,74454,ggplot2
2022-01-22,57754,ggplot2
2022-01-23,57490,ggplot2
2022-01-24,80413,ggplot2
2022-01-25,84131,ggplot2
2022-01-26,81048,ggplot2
2022-01-27,82145,ggplot2
2022-01-28,77117,ggplot2
2022-01-29,62049,ggplot2
2022-01-30,57652,ggplot2
2022-01-31,78363,ggplot2
2022-02-01,81874,ggplot2
2022-02-02,81663,ggplot2
2022-02-03,81320,ggplot2
2022-02-04,75018,ggplot2
2022-02-05,56053,ggplot2
2022-02-06,55763,ggplot2
2022-02-07,83524,ggplot2
2022-02-08,85247,ggplot2
2022-02-09,83439,ggplot2
2022-02-10,83956,ggplot2
2022-02-11,89962,ggplot2
2022-02-12,76986,ggplot2
2022-02-13,69899,ggplot2
2022-02-14,78271,ggplot2
2022-02-15,79717,ggplot2
2022-02-16,81052,ggplot2
2022-02-17,84003,ggplot2
2022-02-18,73045,ggplot2
2022-02-19,55634,ggplot2
2022-02-20,58080,ggplot2
2022-02-21,83891,ggplot2
2022-02-22,79816,ggplot2
2022-02-23,76003,ggplot2
2022-02-24,68428,ggplot2
2022-02-25,64602,ggplot2
2022-02-26,53135,ggplot2
2022-02-27,56469,ggplot2
2022-02-28,80366,ggplot2
2022-03-01,82151,ggplot2
2022-03-02,74151,ggplot2
2022-03-03,72292,ggplot2
2022-03-04,69521,ggplot2
2022-03-05,54890,ggplot2
2022-03-06,60670,ggplot2
2022-03-07,83622,ggplot2
2022-03-08,85794,ggplot2
2022-03-09,86447,ggplot2
2022-03-10,86546,ggplot2
2022-03-11,77154,ggplot2
2022-03-12,56478,ggplot2
2022-03-13,57012,ggplot2
2022-03-14,82742,ggplot2
2022-03-15,80851,ggplot2
2022-03-16,82627,ggplot2
2022-03-17,90914,ggplot2
2022-03-18,79349,ggplot2
2022-03-19,60017,ggplot2
2022-03-20,62977,ggplot2
2022-03-21,86097,ggplot2
2022-03-22,85679,ggplot2
2022-03-23,86185,ggplot2
2022-03-24,86370,ggplot2
2022-03-25,81173,ggplot2
2022-03-26,66167,ggplot2
2022-03-27,72428,ggplot2
2022-03-28,90185,ggplot2
2022-03-29,96996,ggplot2
2022-03-30,93509,ggplot2
2022-03-31,91709,ggplot2
2022-04-01,83138,ggplot2
2022-04-02,66810,ggplot2
2022-04-03,68724,ggplot2
2022-04-04,93316,ggplot2
2022-04-05,98214,ggplot2
2022-04-06,102656,ggplot2
2022-04-07,97482,ggplot2
2022-04-08,95232,ggplot2
2022-04-09,76399,ggplot2
2022-04-10,74462,ggplot2
2022-04-11,95843,ggplot2
2022-04-12,91777,ggplot2
2022-04-13,91045,ggplot2
2022-04-14,92503,ggplot2
2022-04-15,81717,ggplot2
2022-04-16,74330,ggplot2
2022-04-17,75838,ggplot2
2022-04-18,92689,ggplot2
2022-04-19,97658,ggplot2
2022-04-20,99157,ggplot2
2022-04-21,99526,ggplot2
2022-04-22,96374,ggplot2
2022-04-23,78490,ggplot2
2022-04-24,80157,ggplot2
2022-04-25,97714,ggplot2
2022-04-26,105186,ggplot2
2022-04-27,99073,ggplot2
2022-04-28,100284,ggplot2
2022-04-29,100866,ggplot2
2022-04-30,82523,ggplot2
2022-05-01,82983,ggplot2
2022-05-02,101351,ggplot2
2022-05-03,119465,ggplot2
2022-05-04,122608,ggplot2
2022-05-05,117010,ggplot2
2022-05-06,111232,ggplot2
2022-05-07,90821,ggplot2
2022-05-08,88578,ggplot2
2022-05-09,114296,ggplot2
2022-05-10,119283,ggplot2
2022-05-11,116869,ggplot2
2022-05-12,115453,ggplot2
2022-05-13,108743,ggplot2
2022-05-14,87649,ggplot2
2022-05-15,63853,ggplot2
2022-05-16,76151,ggplot2
2022-05-17,105036,ggplot2
2022-05-18,104427,ggplot2
2022-05-19,103341,ggplot2
2022-05-20,95521,ggplot2
2022-05-21,78604,ggplot2
2022-05-22,82854,ggplot2
2022-05-23,112494,ggplot2
2022-05-24,116752,ggplot2
2022-05-25,112993,ggplot2
2022-05-26,107273,ggplot2
2022-05-27,91392,ggplot2
2022-05-28,80984,ggplot2
2022-05-29,81283,ggplot2
2022-05-30,100521,ggplot2
2022-05-31,103716,ggplot2
2022-06-01,102959,ggplot2
2022-06-02,103689,ggplot2
2022-06-03,99204,ggplot2
2022-06-04,85595,ggplot2
2022-06-05,81043,ggplot2
2022-06-06,97671,ggplot2
2022-06-07,108233,ggplot2
2022-06-08,107669,ggplot2
2022-06-09,105003,ggplot2
2022-06-10,96128,ggplot2
2022-06-11,79344,ggplot2
2022-06-12,78531,ggplot2
2022-06-13,100230,ggplot2
2022-06-14,102050,ggplot2
2022-06-15,100383,ggplot2
2022-06-16,102008,ggplot2
2022-06-17,98110,ggplot2
2022-06-18,79515,ggplot2
2022-06-19,79111,ggplot2
2022-06-20,101983,ggplot2
2022-06-21,105104,ggplot2
2022-06-22,100237,ggplot2
2022-06-23,97114,ggplot2
2022-06-24,93181,ggplot2
2022-06-25,79007,ggplot2
2022-06-26,77509,ggplot2
2022-06-27,97836,ggplot2
2022-06-28,99862,ggplot2
2022-06-29,97713,ggplot2
2022-06-30,93324,ggplot2
2022-07-01,87471,ggplot2
2022-07-02,72779,ggplot2
2022-07-03,72557,ggplot2
2022-07-11,94053,ggplot2
2022-07-12,97285,ggplot2
2022-07-13,97303,ggplot2
2022-07-14,94498,ggplot2
2022-07-15,90162,ggplot2
2022-07-16,78421,ggplot2
2022-07-17,74854,ggplot2
2022-07-18,95718,ggplot2
2022-07-19,97595,ggplot2
2022-07-20,89789,ggplot2
2022-07-21,85984,ggplot2
2022-07-22,82342,ggplot2
2022-07-23,72054,ggplot2
2022-07-24,81765,ggplot2
2022-07-25,102571,ggplot2
2022-07-26,98511,ggplot2
2022-07-27,97153,ggplot2
2022-07-28,93782,ggplot2
2022-07-29,92110,ggplot2
2022-07-30,69905,ggplot2
2022-07-31,70348,ggplot2
2022-08-01,91272,ggplot2
2022-08-02,94186,ggplot2
2022-08-03,92058,ggplot2
2022-08-04,90248,ggplot2
2022-08-05,88015,ggplot2
2022-08-06,72284,ggplot2
2022-08-07,71127,ggplot2
2022-08-08,90904,ggplot2
2022-08-09,85861,ggplot2
2022-08-10,87368,ggplot2
2022-08-11,85571,ggplot2
2022-08-12,84385,ggplot2
2022-08-13,74060,ggplot2
2022-08-14,75189,ggplot2
2022-08-15,86991,ggplot2
2022-08-16,93066,ggplot2
2022-08-17,90619,ggplot2
2022-08-18,90182,ggplot2
2022-08-19,86195,ggplot2
2022-08-20,73481,ggplot2
2022-08-21,73761,ggplot2
2022-08-22,86913,ggplot2
2022-08-23,93341,ggplot2
2022-08-24,83091,ggplot2
2022-08-25,89088,ggplot2
2022-08-26,76246,ggplot2
2022-08-27,61867,ggplot2
2022-08-28,62350,ggplot2
2022-08-29,85517,ggplot2
2022-08-30,89563,ggplot2
2022-08-31,89551,ggplot2
2022-09-01,87241,ggplot2
2022-09-02,80732,ggplot2
2022-09-03,60677,ggplot2
2022-09-04,60555,ggplot2
2022-09-05,82040,ggplot2
2022-09-06,99320,ggplot2
2022-09-07,97307,ggplot2
2022-09-08,98157,ggplot2
2022-09-09,87693,ggplot2
2022-09-10,68161,ggplot2
2022-09-11,67854,ggplot2
2022-09-12,102453,ggplot2
2022-09-13,111200,ggplot2
2022-09-14,105203,ggplot2
2022-09-15,101545,ggplot2
2022-09-16,91146,ggplot2
